sequence,y_true,confidence
1 -1 S_0_1 -1 S_0_1 -1 E_1_0 -1 S_0_1 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 NE_1_1 -1 N_0_1 -1 N_0_1 -1 N_0_1 -1 N_0_1 -1 N_0_1 -1 W_1_0 -1 N_0_1 -1 N_0_1 -1 N_0_1 -1 N_0_1 -1 E_1_0 -1 N_0_1 -1 E_1_0 -1 N_0_1 -1 N_0_1 -1 N_0_1 -1 N_0_1 -1 W_1_0 -1 NW_1_1 -1 N_0_1 -1 NW_1_1 -1 SW_1_1 -1 W_1_0 -1 W_1_0 -1 S_0_1 -1 W_1_0 -1 S_0_1 -1 W_1_0 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 E_1_0 -1 S_0_1 -1 E_1_0 -1 SE_1_1 -1 E_1_0 -1 S_0_1 -1 E_1_0 -1 S_0_1 -1 W_1_0 -1 S_0_1 -1 STAY_0_0 -2,1,0.97703177
1 -1 S_0_1 -1 SW_1_1 -1 S_0_1 -1 SE_1_1 -1 SE_1_1 -1 SE_1_1 -1 S_0_1 -1 W_1_0 -1 S_0_1 -1 W_1_0 -1 S_0_1 -1 W_1_0 -1 S_0_1 -1 W_1_0 -1 SW_1_1 -1 SW_1_1 -1 S_0_1 -1 S_0_1 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 NE_1_1 -1 E_1_0 -1 E_1_0 -1 NE_1_1 -1 NE_1_1 -1 N_0_1 -1 N_0_1 -1 N_0_1 -1 NW_1_1 -1 N_0_1 -1 N_0_1 -1 E_1_0 -1 NE_1_1 -1 NE_1_1 -1 E_1_0 -1 N_0_1 -1 E_1_0 -1 N_0_1 -1 E_1_0 -1 N_0_1 -1 E_1_0 -1 N_0_1 -1 E_1_0 -1 N_0_1 -1 N_0_1 -1 W_1_0 -1 NW_1_1 -1 W_1_0 -1 W_1_0 -1 SW_1_1 -1 W_1_0 -1 W_1_0 -1 SW_1_1 -1 W_1_0 -1 SW_1_1 -1 STAY_0_0 -2,1,0.98979723
0 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 W_1_0 -1 S_0_1 -1 S_0_1 -1 SE_1_1 -1 SE_1_1 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 SW_1_1 -1 S_0_1 -1 W_1_0 -1 W_1_0 -1 W_1_0 -1 W_1_0 -1 N_0_1 -1 W_1_0 -1 N_0_1 -1 N_0_1 -1 STAY_0_0 -2,0,0.98979706
0 -1 NE_1_1 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 SE_1_1 -1 S_0_1 -1 S_0_1 -1 SW_1_1 -1 SW_1_1 -1 W_1_0 -1 S_0_1 -1 W_1_0 -1 S_0_1 -1 W_1_0 -1 W_1_0 -1 S_0_1 -1 W_1_0 -1 S_0_1 -1 S_0_1 -1 E_1_0 -1 SE_1_1 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 SW_1_1 -1 W_1_0 -1 W_1_0 -1 SW_1_1 -1 W_1_0 -1 S_0_1 -1 W_1_0 -1 W_1_0 -1 W_1_0 -1 W_1_0 -1 W_1_0 -1 W_1_0 -1 W_1_0 -1 STAY_0_0 -1 NE_5_7 -1 NE_1_1 -1 E_1_0 -1 E_1_0 -1 SE_1_1 -1 STAY_0_0 -2,0,0.08764133
0 -1 S_0_1 -1 SE_1_1 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 W_1_0 -1 S_0_1 -1 S_0_1 -1 E_1_0 -1 SE_1_1 -1 E_1_0 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 SW_1_1 -1 S_0_1 -1 SW_1_1 -1 S_0_1 -1 S_0_1 -1 STAY_0_0 -2,0,0.98742664
1 -1 NE_1_1 -1 E_1_0 -1 NE_1_1 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 SE_1_1 -1 S_0_1 -1 SW_1_1 -1 S_0_1 -1 W_1_0 -1 S_0_1 -1 W_1_0 -1 SW_1_1 -1 W_1_0 -1 S_0_1 -1 W_1_0 -1 W_1_0 -1 S_0_1 -1 W_1_0 -1 S_0_1 -1 S_0_1 -1 E_1_0 -1 S_0_1 -1 E_1_0 -1 SE_1_1 -1 E_1_0 -1 E_1_0 -1 SE_1_1 -1 SE_1_1 -1 S_0_1 -1 S_0_1 -1 W_1_0 -1 W_1_0 -1 W_1_0 -1 SW_1_1 -1 W_1_0 -1 W_1_0 -1 W_1_0 -1 W_1_0 -1 NW_1_1 -1 W_1_0 -1 W_1_0 -1 NW_1_1 -1 N_0_1 -1 N_0_1 -1 N_0_1 -1 E_1_0 -1 N_0_1 -1 E_1_0 -1 N_0_1 -1 E_1_0 -1 N_0_1 -1 E_1_0 -1 N_0_1 -1 N_0_1 -1 N_0_1 -1 E_1_0 -1 N_0_1 -1 NE_1_1 -1 STAY_0_0 -2,1,0.10397981
0 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 SE_1_1 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 SE_1_1 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 W_1_0 -1 S_0_1 -1 SW_1_1 -1 W_1_0 -1 W_1_0 -1 SW_1_1 -1 W_1_0 -1 STAY_0_0 -1 E_5_0 -1 S_0_1 -1 E_1_0 -1 SE_1_1 -1 E_1_0 -1 S_0_1 -1 E_1_0 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 W_1_0 -1 S_0_1 -1 SW_1_1 -1 W_1_0 -1 S_0_1 -1 W_1_0 -1 W_1_0 -1 W_1_0 -1 W_1_0 -1 W_1_0 -1 SW_1_1 -1 W_1_0 -1 W_1_0 -1 NW_1_1 -1 W_1_0 -1 W_1_0 -1 W_1_0 -1 STAY_0_0 -2,0,0.104042985
0 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 SE_1_1 -1 E_1_0 -1 SE_1_1 -1 E_1_0 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 W_1_0 -1 SW_1_1 -1 W_1_0 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 SE_1_1 -1 E_1_0 -1 S_0_1 -1 E_1_0 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 W_1_0 -1 S_0_1 -1 W_1_0 -1 W_1_0 -1 SW_1_1 -1 STAY_0_0 -2,0,0.100190185
1 -1 N_0_1 -1 NW_1_1 -1 W_1_0 -1 W_1_0 -1 N_0_1 -1 E_1_0 -1 N_0_1 -1 N_0_1 -1 W_1_0 -1 N_0_1 -1 W_1_0 -1 N_0_1 -1 E_1_0 -1 STAY_0_0 -1 SW_2_1 -1 W_1_0 -1 W_1_0 -1 W_1_0 -1 S_0_1 -1 W_1_0 -1 SW_1_1 -1 SW_1_1 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 E_1_0 -1 S_0_1 -1 W_1_0 -1 SW_1_1 -1 W_1_0 -1 SW_1_1 -1 SW_1_1 -1 S_0_1 -1 S_0_1 -1 SE_1_1 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 NE_1_1 -1 N_0_1 -1 N_0_1 -1 N_0_1 -1 N_0_1 -1 STAY_0_0 -1 N_0_2 -1 E_1_0 -1 E_1_0 -1 NE_1_1 -1 NE_1_1 -1 E_1_0 -1 E_1_0 -1 STAY_0_0 -1 NW_1_3 -1 N_0_1 -1 STAY_0_0 -2,1,0.9835106
1 -1 S_0_1 -1 NE_1_1 -1 NE_1_1 -1 E_1_0 -1 E_1_0 -1 E_1_0 -1 S_0_1 -1 E_1_0 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 SW_1_1 -1 S_0_1 -1 W_1_0 -1 S_0_1 -1 W_1_0 -1 S_0_1 -1 W_1_0 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 SE_1_1 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 S_0_1 -1 W_1_0 -1 W_1_0 -1 W_1_0 -1 W_1_0 -1 W_1_0 -1 N_0_1 -1 W_1_0 -1 W_1_0 -1 N_0_1 -1 NW_1_1 -1 NE_1_1 -1 NE_1_1 -1 E_1_0 -1 N_0_1 -1 E_1_0 -1 N_0_1 -1 E_1_0 -1 N_0_1 -1 E_1_0 -1 NW_1_1 -1 N_0_1 -1 NW_1_1 -1 N_0_1 -1 N_0_1 -1 N_0_1 -1 STAY_0_0 -2,1,0.34661242
