pattern,quality,support,pattern_delta,error_class_0,error_class_1,size_class_0,size_class_1,std_class_0,std_class_1,dataset_size,max_gap,support_penalty,sigmoid_offset
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'SE_1_1'}]",0.9956558456520624,96,0.6794740850241545,0.7688255944444443,0.08935150942028984,27,69,0.04837532718326399,0.09328650203414328,5262,2,0.2,2
"[{'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'SE_1_1'}]",0.958148460274935,149,0.570471083620202,0.7113881216,0.140917037979798,50,99,0.08153662192791294,0.12274275193305499,5262,2,0.2,2
"[{'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}]",0.9533779274482462,106,0.5299976189628482,0.7205731563157894,0.1905755373529412,38,68,0.09388053138155661,0.11438964940139167,5262,2,0.2,2
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}]",0.8900960352245196,121,0.5226217554682275,0.6864500180769232,0.16382826260869565,52,69,0.11736397008232007,0.14133673976790403,5262,2,0.2,2
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}]",0.8648651779236114,184,0.504608374119349,0.6659547124050633,0.16134633828571426,79,105,0.13521780222281982,0.15071452725811924,5262,2,0.2,2
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}]",0.8496794359986887,140,0.5447135545541959,0.6864500180769232,0.14173646352272729,52,88,0.11736397008232007,0.1584187998645412,5262,2,0.2,2
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}]",0.7654840259366161,90,0.7329046192566167,0.7958298836363635,0.06292526437974683,11,79,0.0581241188071341,0.12903394847431893,5262,2,0.2,2
"[{'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}]",0.6789499399220287,180,0.6541820233419355,0.7532547388,0.09907271545806451,25,155,0.06675068028786357,0.15845998578866669,5262,2,0.2,2
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}]",0.6759442500533356,68,0.6598306502068966,0.713473419,0.05364276879310345,10,58,0.11718284447857694,0.12859552199707952,5262,2,0.2,2
"[{'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}]",0.6303722127933162,85,0.6646693064000001,0.7713833400000001,0.10671403360000002,10,75,0.07152493714060727,0.13479762149293661,5262,2,0.2,2
