pattern,quality,pattern_delta,support,class_balance,p_value,corrected_p,is_sig
"[{'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_8_9'}]",0.8664384361946074,0.5415133657377391,63,"{0.0: 21, 1.0: 42}",0.000999000999000999,0.0013875013875013875,True
"[{'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_2_9'}, {'M_2_9'}]",0.7766294134512498,0.6916571201576341,72,"{1.0: 62, 0.0: 10}",1.0,1.0,False
"[{'M_14_9'}, {'M_13_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_11_9'}]",0.5632420977775557,0.4427910170042646,60,"{0.0: 43, 1.0: 17}",0.000999000999000999,0.0013875013875013875,True
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_12_9'}, {'M_12_9'}]",0.5305677759614884,0.442844738409663,62,"{1.0: 15, 0.0: 47}",0.000999000999000999,0.0013875013875013875,True
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_2_9'}, {'M_2_9'}]",0.452600331086908,0.5401124315957228,112,"{0.0: 12, 1.0: 100}",1.0,1.0,False
"[{'M_9_9'}, {'M_9_9'}, {'M_9_9'}, {'M_9_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}]",0.4470951932164409,0.5069877172758183,62,"{0.0: 12, 1.0: 50}",1.0,1.0,False
"[{'M_5_9'}, {'M_5_9'}, {'M_5_9'}, {'M_5_9'}, {'M_5_9'}, {'M_5_9'}, {'M_5_9'}, {'M_5_9'}, {'M_5_9'}, {'M_5_9'}, {'M_5_9'}, {'M_5_9'}]",0.4374807592841156,0.40760710923329146,64,"{0.0: 21, 1.0: 43}",0.000999000999000999,0.0013875013875013875,True
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_13_9'}]",0.4281224961207843,0.35893911908260046,66,"{1.0: 29, 0.0: 37}",0.000999000999000999,0.0013875013875013875,True
"[{'M_13_9'}, {'M_13_9'}, {'M_13_9'}, {'M_1_9'}]",0.4240048313673071,0.4601325835030171,97,"{0.0: 23, 1.0: 74}",0.000999000999000999,0.0013875013875013875,True
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_15_9'}, {'M_0_9'}]",0.4212741135197263,0.41515880637905667,61,"{1.0: 16, 0.0: 45}",0.000999000999000999,0.0013875013875013875,True
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}]",0.4072965536121204,0.4031514366959188,72,"{0.0: 55, 1.0: 17}",0.000999000999000999,0.0013875013875013875,True
"[{'M_1_9'}, {'M_1_9'}, {'M_1_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}]",0.39353440537890205,0.44107969342845177,85,"{1.0: 63, 0.0: 22}",0.000999000999000999,0.0013875013875013875,True
"[{'M_12_9'}, {'M_12_9'}, {'M_13_9'}, {'M_2_9'}]",0.37070738513992135,0.4217394969251366,79,"{1.0: 61, 0.0: 18}",0.000999000999000999,0.0013875013875013875,True
"[{'M_13_9'}, {'M_13_9'}, {'M_13_9'}, {'M_13_9'}, {'M_13_9'}, {'M_13_9'}, {'M_13_9'}, {'M_15_9'}]",0.33774421397185,0.36301615190223546,69,"{0.0: 18, 1.0: 51}",0.000999000999000999,0.0013875013875013875,True
"[{'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_0_9'}, {'M_0_9'}, {'M_0_9'}, {'M_0_9'}, {'M_0_9'}]",0.33178238339796867,0.38769914501610403,71,"{0.0: 57, 1.0: 14}",1.0,1.0,False
"[{'M_4_9'}, {'M_4_9'}, {'M_4_9'}, {'M_4_9'}, {'M_4_9'}, {'M_4_9'}, {'M_4_9'}, {'M_4_9'}, {'M_4_9'}, {'M_5_9'}, {'M_7_9'}]",0.32586500183344946,0.3713481828538526,67,"{0.0: 54, 1.0: 13}",1.0,1.0,False
"[{'M_13_9'}, {'M_13_9'}, {'M_15_9'}, {'M_2_9'}]",0.31349156213570234,0.4078650699639824,86,"{1.0: 71, 0.0: 15}",0.000999000999000999,0.0013875013875013875,True
"[{'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}]",0.3029429993818053,0.37918314439414436,83,"{1.0: 53, 0.0: 30}",0.000999000999000999,0.0013875013875013875,True
"[{'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_14_9'}, {'M_15_9'}]",0.3016477401099352,0.33919800945183864,64,"{1.0: 15, 0.0: 49}",0.000999000999000999,0.0013875013875013875,True
"[{'M_3_9'}, {'M_0_9'}, {'M_13_9'}]",0.2922453832112193,0.43285406827562745,109,"{1.0: 91, 0.0: 18}",0.000999000999000999,0.0013875013875013875,True
"[{'M_13_9'}, {'M_13_9'}, {'M_13_9'}, {'M_13_9'}, {'M_14_9'}, {'M_14_9'}, {'M_14_9'}, {'M_14_9'}, {'M_14_9'}]",0.29102168127379896,0.427415883687861,67,"{1.0: 55, 0.0: 12}",1.0,1.0,False
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_9_9'}, {'M_10_9'}]",0.2828541312848681,0.34134371288948595,64,"{0.0: 46, 1.0: 18}",0.000999000999000999,0.0013875013875013875,True
"[{'M_14_9'}, {'M_3_9'}, {'M_3_9'}, {'M_3_9'}, {'M_3_9'}]",0.27765262915170924,0.33911600831015154,79,"{1.0: 52, 0.0: 27}",0.000999000999000999,0.0013875013875013875,True
