pattern,quality,support,pattern_delta,error_class_0,error_class_1,size_class_0,size_class_1,std_class_0,std_class_1,dataset_size,max_gap,support_penalty,sigmoid_offset
"[{'5637'}, {'3510'}, {'1012'}]",0.21646842155139223,77,0.3104873597316566,0.25697056020869585,0.5674579199403524,61,16,0.08525202130733439,0.16045754843530916,3997,1,0.2,2
"[{'1997'}, {'3510'}]",0.196872092344402,69,0.30521280645483334,0.26923926457248887,0.5744520710273222,58,11,0.09487879993303955,0.1564953719409998,3997,1,0.2,2
"[{'3510'}, {'1012'}]",0.1919813805982923,140,0.26805582979451054,0.2710619296716607,0.5391177594661712,115,25,0.09616694544743815,0.14991970875303476,3997,1,0.2,2
"[{'1996'}, {'6243'}]",0.1772122478095937,69,0.19852896045755458,0.3387958197681992,0.5373247802257538,54,15,0.11837895297961964,0.13389522578086824,3997,1,0.2,2
"[{'2017'}, {'2215'}]",0.1768567048782658,81,0.19691638965486435,0.3433127539199695,0.5402291435748339,57,24,0.13913792764841298,0.17204579749223417,3997,1,0.2,2
"[{'1000'}, {'2009'}]",0.17490568044072594,80,0.2139826541566579,0.3089411829487752,0.5229238371054331,59,21,0.0917041185182823,0.1592476390321366,3997,1,0.2,2
"[{'9850'}, {'2005'}]",0.17448368865143374,62,0.1723550606786815,0.3464339011245304,0.5187889618032119,45,17,0.12032334721119028,0.12251191517322449,3997,1,0.2,2
[{'3510'}],0.1710178533615768,544,0.2231925577609925,0.28467971318074176,0.5078722709417343,444,100,0.10703656021486813,0.18007460312174722,3997,1,0.2,2
[{'6243'}],0.16773920591693328,121,0.17388233523299523,0.33124865523014946,0.5051309904631447,87,34,0.11538435442077333,0.14490809185844405,3997,1,0.2,2
[{'20200'}],0.16721267300912201,65,0.20791559482604777,0.5141858673271011,0.3062702725010534,34,31,0.16096511235983427,0.07475665282100949,3997,1,0.2,2
"[{'3510'}, {'1010'}]",0.16623025677517625,125,0.2755812875845108,0.2703186235619041,0.5458999111464149,106,19,0.08675751273284672,0.2004758076695694,3997,1,0.2,2
"[{'24004'}, {'20200'}]",0.16530282217387696,62,0.20403848607249625,0.5141858673271011,0.3101473812546049,34,28,0.16096511235983427,0.07295461997359384,3997,1,0.2,2
