pattern,quality,pattern_delta,support,class_balance,p_value,corrected_p,is_sig
"[{'5637'}, {'3510'}, {'1012'}]",0.21646842155139223,0.3104873597316566,77,"{np.float64(0.0): 61, np.float64(1.0): 16}",0.000999000999000999,0.0011482770103459759,True
[{'2343'}],0.19904971241617597,0.25263379411177433,63,"{np.float64(0.0): 47, np.float64(1.0): 16}",0.000999000999000999,0.0011482770103459759,True
"[{'1997'}, {'3510'}]",0.196872092344402,0.30521280645483334,69,"{np.float64(0.0): 58, np.float64(1.0): 11}",1.0,1.0,False
[{'3337'}],0.18179427967566875,0.23743012103862982,79,"{np.float64(1.0): 31, np.float64(0.0): 48}",0.000999000999000999,0.0011482770103459759,True
"[{'1996'}, {'6243'}]",0.1772122478095937,0.19852896045755458,69,"{np.float64(0.0): 54, np.float64(1.0): 15}",0.000999000999000999,0.0011482770103459759,True
"[{'2017'}, {'2215'}]",0.1768567048782658,0.19691638965486435,81,"{np.float64(0.0): 57, np.float64(1.0): 24}",0.000999000999000999,0.0011482770103459759,True
"[{'1000'}, {'2009'}]",0.17490568044072594,0.2139826541566579,80,"{np.float64(0.0): 59, np.float64(1.0): 21}",0.000999000999000999,0.0011482770103459759,True
[{'5020'}],0.17383007725246016,0.19442585474914975,65,"{np.float64(1.0): 20, np.float64(0.0): 45}",0.000999000999000999,0.0011482770103459759,True
[{'20200'}],0.16721267300912201,0.20791559482604777,65,"{np.float64(0.0): 34, np.float64(1.0): 31}",0.000999000999000999,0.0011482770103459759,True
[{'2553'}],0.16646041307328513,0.21200309171774312,127,"{np.float64(0.0): 104, np.float64(1.0): 23}",0.000999000999000999,0.0011482770103459759,True
"[{'2037'}, {'1012'}]",0.1650054853522288,0.1648678990722704,120,"{np.float64(1.0): 35, np.float64(0.0): 85}",0.000999000999000999,0.0011482770103459759,True
"[{'2000'}, {'2010'}]",0.16413150073049448,0.18745730575812086,82,"{np.float64(0.0): 63, np.float64(1.0): 19}",0.000999000999000999,0.0011482770103459759,True
"[{'2054'}, {'1996'}]",0.16193495392973145,0.17069634098511244,105,"{np.float64(0.0): 77, np.float64(1.0): 28}",0.000999000999000999,0.0011482770103459759,True
"[{'8254'}, {'3993'}]",0.1603707710121005,0.1641423443953196,66,"{np.float64(1.0): 21, np.float64(0.0): 45}",0.000999000999000999,0.0011482770103459759,True
"[{'5637'}, {'2916'}]",0.1590294398195573,0.20851320997420425,116,"{np.float64(0.0): 92, np.float64(1.0): 24}",0.000999000999000999,0.0011482770103459759,True
[{'2490'}],0.1586773258550267,0.18353136889636518,183,"{np.float64(0.0): 143, np.float64(1.0): 40}",0.000999000999000999,0.0011482770103459759,True
[{'11324'}],0.15634283961199535,0.21030524424769326,176,"{np.float64(0.0): 145, np.float64(1.0): 31}",0.000999000999000999,0.0011482770103459759,True
"[{'2000'}, {'1996'}, {'1010'}]",0.15471338248971583,0.20565904849240563,64,"{np.float64(0.0): 49, np.float64(1.0): 15}",0.000999000999000999,0.0011482770103459759,True
"[{'2008'}, {'2038'}]",0.15324598960989833,0.15809431474394448,67,"{np.float64(1.0): 19, np.float64(0.0): 48}",0.000999000999000999,0.0011482770103459759,True
"[{'2022'}, {'1999'}]",0.152973085782474,0.1637283601305064,67,"{np.float64(0.0): 50, np.float64(1.0): 17}",0.000999000999000999,0.0011482770103459759,True
"[{'2012'}, {'2560'}]",0.15281769864588682,0.1988719867335425,77,"{np.float64(0.0): 63, np.float64(1.0): 14}",1.0,1.0,False
[{'2231'}],0.15223702839703912,0.1738028714673941,117,"{np.float64(0.0): 95, np.float64(1.0): 22}",0.000999000999000999,0.0011482770103459759,True
"[{'5637'}, {'2273'}]",0.1518894738507088,0.1522942895245038,150,"{np.float64(1.0): 61, np.float64(0.0): 89}",0.000999000999000999,0.0011482770103459759,True
"[{'2004'}, {'1996'}]",0.15132060829253036,0.15852372153106759,127,"{np.float64(1.0): 26, np.float64(0.0): 101}",0.000999000999000999,0.0011482770103459759,True
"[{'2031'}, {'1996'}]",0.15037236069263332,0.15531909789728082,104,"{np.float64(0.0): 81, np.float64(1.0): 23}",0.000999000999000999,0.0011482770103459759,True
"[{'1999'}, {'2000'}]",0.14993201862149969,0.15068583033163857,81,"{np.float64(0.0): 59, np.float64(1.0): 22}",0.000999000999000999,0.0011482770103459759,True
"[{'1997'}, {'1999'}]",0.1496412749428467,0.15349011524900125,83,"{np.float64(0.0): 67, np.float64(1.0): 16}",0.000999000999000999,0.0011482770103459759,True
[{'2478'}],0.14883373901541658,0.14988606862920295,75,"{np.float64(0.0): 58, np.float64(1.0): 17}",0.000999000999000999,0.0011482770103459759,True
"[{'1000'}, {'1999'}]",0.1487503279613473,0.16495515266433358,80,"{np.float64(0.0): 64, np.float64(1.0): 16}",0.000999000999000999,0.0011482770103459759,True
[{'1004'}],0.14803872030129195,0.17428274220814693,65,"{np.float64(1.0): 19, np.float64(0.0): 46}",0.000999000999000999,0.0011482770103459759,True
"[{'1012'}, {'2036'}]",0.14792826123393218,0.1711349888571671,62,"{np.float64(1.0): 20, np.float64(0.0): 42}",0.000999000999000999,0.0011482770103459759,True
"[{'1029'}, {'2009'}]",0.14721674062545287,0.13392533180760396,62,"{np.float64(0.0): 45, np.float64(1.0): 17}",0.000999000999000999,0.0011482770103459759,True
"[{'1996'}, {'3277'}]",0.14699274065382514,0.1926535608039962,81,"{np.float64(0.0): 63, np.float64(1.0): 18}",0.000999000999000999,0.0011482770103459759,True
"[{'1007'}, {'1998'}]",0.14663412134663675,0.1437131148788769,68,"{np.float64(0.0): 46, np.float64(1.0): 22}",0.000999000999000999,0.0011482770103459759,True
"[{'2021'}, {'1045'}]",0.14624612860431624,0.1341507225349453,127,"{np.float64(0.0): 92, np.float64(1.0): 35}",0.000999000999000999,0.0011482770103459759,True
"[{'1996'}, {'2000'}]",0.14611041714181874,0.15829556132754186,239,"{np.float64(0.0): 188, np.float64(1.0): 51}",0.000999000999000999,0.0011482770103459759,True
"[{'10214'}, {'2000'}]",0.14597370987783329,0.1612824710458517,66,"{np.float64(0.0): 50, np.float64(1.0): 16}",0.001998001998001998,0.0021717413021760845,True
"[{'1012'}, {'2031'}]",0.14576266077132358,0.15863824187735326,120,"{np.float64(0.0): 102, np.float64(1.0): 18}",0.000999000999000999,0.0011482770103459759,True
"[{'1010'}, {'1999'}]",0.14566360694781932,0.1324037805713456,198,"{np.float64(1.0): 58, np.float64(0.0): 140}",0.000999000999000999,0.0011482770103459759,True
"[{'1996'}, {'1005'}, {'1055'}]",0.1455774117117222,0.1388421432257128,132,"{np.float64(0.0): 98, np.float64(1.0): 34}",0.000999000999000999,0.0011482770103459759,True
"[{'2064'}, {'2022'}]",0.14534709417005617,0.13901109443533988,112,"{np.float64(0.0): 84, np.float64(1.0): 28}",0.000999000999000999,0.0011482770103459759,True
"[{'2038'}, {'1037'}]",0.14518219250201667,0.14565254640030234,73,"{np.float64(0.0): 57, np.float64(1.0): 16}",0.000999000999000999,0.0011482770103459759,True
"[{'15667'}, {'2015'}, {'1012'}]",0.14492106535700336,0.1468323754930967,89,"{np.float64(0.0): 57, np.float64(1.0): 32}",0.000999000999000999,0.0011482770103459759,True
[{'2048'}],0.14477003444117673,0.1379745047785999,162,"{np.float64(0.0): 128, np.float64(1.0): 34}",0.000999000999000999,0.0011482770103459759,True
"[{'2000'}, {'2191'}]",0.14468583136740737,0.15739917717254992,126,"{np.float64(0.0): 93, np.float64(1.0): 33}",0.000999000999000999,0.0011482770103459759,True
"[{'2052'}, {'2031'}]",0.14445443139494843,0.17092383668925804,80,"{np.float64(0.0): 63, np.float64(1.0): 17}",0.000999000999000999,0.0011482770103459759,True
"[{'1010'}, {'2052'}]",0.1441013361580413,0.12677490138426062,107,"{np.float64(0.0): 82, np.float64(1.0): 25}",0.000999000999000999,0.0011482770103459759,True
[{'16939'}],0.14409382455006353,0.13356649867586184,67,"{np.float64(1.0): 37, np.float64(0.0): 30}",0.001998001998001998,0.0021717413021760845,True
"[{'1996'}, {'1029'}]",0.1440819641797848,0.1374479123515639,83,"{np.float64(0.0): 57, np.float64(1.0): 26}",0.000999000999000999,0.0011482770103459759,True
[{'2524'}],0.14393959404919424,0.17107942604865778,64,"{np.float64(0.0): 52, np.float64(1.0): 12}",1.0,1.0,False
"[{'2055'}, {'1996'}]",0.14376045063432383,0.123444828079952,172,"{np.float64(0.0): 130, np.float64(1.0): 42}",0.000999000999000999,0.0011482770103459759,True
"[{'1055'}, {'1010'}]",0.14365519833468418,0.14902322893233405,95,"{np.float64(1.0): 23, np.float64(0.0): 72}",0.000999000999000999,0.0011482770103459759,True
[{'3235'}],0.14309789053374056,0.14888748564586346,73,"{np.float64(0.0): 49, np.float64(1.0): 24}",0.000999000999000999,0.0011482770103459759,True
[{'2110'}],0.14243447811771587,0.15842523216885868,136,"{np.float64(0.0): 108, np.float64(1.0): 28}",0.000999000999000999,0.0011482770103459759,True
"[{'2115'}, {'1010'}]",0.14203769909117425,0.14525969716764636,60,"{np.float64(0.0): 42, np.float64(1.0): 18}",0.000999000999000999,0.0011482770103459759,True
"[{'2005'}, {'1037'}]",0.14148957347850086,0.12227266890010197,207,"{np.float64(0.0): 152, np.float64(1.0): 55}",0.000999000999000999,0.0011482770103459759,True
"[{'2028'}, {'1996'}]",0.1412327274878253,0.11385735714187228,72,"{np.float64(1.0): 24, np.float64(0.0): 48}",0.000999000999000999,0.0011482770103459759,True
[{'3160'}],0.14112863652608368,0.14243952350257194,93,"{np.float64(0.0): 73, np.float64(1.0): 20}",0.000999000999000999,0.0011482770103459759,True
"[{'2001'}, {'1999'}]",0.14110838674425205,0.15479858238907424,67,"{np.float64(0.0): 50, np.float64(1.0): 17}",0.002997002997002997,0.003222583867745158,True
[{'5223'}],0.14098403889591724,0.12692955681235318,205,"{np.float64(0.0): 115, np.float64(1.0): 90}",0.000999000999000999,0.0011482770103459759,True
"[{'1056'}, {'2022'}]",0.1407983340640043,0.14182878787750786,63,"{np.float64(0.0): 40, np.float64(1.0): 23}",0.001998001998001998,0.0021717413021760845,True
"[{'1055'}, {'1012'}]",0.14078830046930513,0.12195053877867296,152,"{np.float64(0.0): 113, np.float64(1.0): 39}",0.000999000999000999,0.0011482770103459759,True
"[{'2000'}, {'2000'}]",0.1407094280297947,0.14818899791974288,132,"{np.float64(0.0): 104, np.float64(1.0): 28}",0.000999000999000999,0.0011482770103459759,True
"[{'1010'}, {'1010'}, {'1010'}]",0.14050011510115595,0.1317923969437933,105,"{np.float64(0.0): 78, np.float64(1.0): 27}",0.000999000999000999,0.0011482770103459759,True
[{'3412'}],0.1404676851799901,0.11221448537859818,193,"{np.float64(0.0): 132, np.float64(1.0): 61}",0.000999000999000999,0.0011482770103459759,True
"[{'2004'}, {'2004'}]",0.14016911731197082,0.13088722326675384,163,"{np.float64(0.0): 119, np.float64(1.0): 44}",0.000999000999000999,0.0011482770103459759,True
"[{'1012'}, {'2028'}]",0.14006307919990924,0.12652176799341613,104,"{np.float64(0.0): 81, np.float64(1.0): 23}",0.000999000999000999,0.0011482770103459759,True
"[{'2009'}, {'2000'}]",0.13993353791630386,0.1366687660109122,149,"{np.float64(0.0): 112, np.float64(1.0): 37}",0.000999000999000999,0.0011482770103459759,True
"[{'1996'}, {'2375'}]",0.1399220959672788,0.15405368923709012,87,"{np.float64(0.0): 69, np.float64(1.0): 18}",0.000999000999000999,0.0011482770103459759,True
"[{'2006'}, {'1996'}]",0.13978096926419517,0.11859085226056343,351,"{np.float64(0.0): 265, np.float64(1.0): 86}",0.000999000999000999,0.0011482770103459759,True
[{'2086'}],0.1397046098487694,0.11153905901095756,184,"{np.float64(0.0): 137, np.float64(1.0): 47}",0.000999000999000999,0.0011482770103459759,True
"[{'2003'}, {'1999'}]",0.13955005098654746,0.12725055338088054,105,"{np.float64(0.0): 76, np.float64(1.0): 29}",0.000999000999000999,0.0011482770103459759,True
"[{'2000'}, {'2131'}]",0.13953059196905646,0.13371013292210848,78,"{np.float64(0.0): 55, np.float64(1.0): 23}",0.001998001998001998,0.0021717413021760845,True
"[{'2000'}, {'2005'}]",0.13946110052260732,0.14049047575453033,79,"{np.float64(0.0): 58, np.float64(1.0): 21}",0.000999000999000999,0.0011482770103459759,True
[{'1006'}],0.13941050446044848,0.10689499283987125,692,"{np.float64(0.0): 527, np.float64(1.0): 165}",0.000999000999000999,0.0011482770103459759,True
[{'2710'}],0.13898362238304177,0.11460638108191551,112,"{np.float64(0.0): 77, np.float64(1.0): 35}",0.000999000999000999,0.0011482770103459759,True
