pattern,quality,support,pattern_delta,error_class_0,error_class_1,size_class_0,size_class_1,std_class_0,std_class_1,theta
"[{'5637'}, {'3510'}, {'1012'}]",0.21646842155139223,77,0.3104873597316566,0.25697056020869585,0.5674579199403524,61,16,0.08525202130733439,0.16045754843530916,0.1
[{'2343'}],0.19904971241617597,63,0.25263379411177433,0.3001045632235547,0.5527383573353291,47,16,0.12394819929588904,0.15629340099074335,0.1
"[{'1997'}, {'3510'}]",0.196872092344402,69,0.30521280645483334,0.26923926457248887,0.5744520710273222,58,11,0.09487879993303955,0.1564953719409998,0.1
"[{'1996'}, {'6243'}]",0.1772122478095937,69,0.19852896045755458,0.3387958197681992,0.5373247802257538,54,15,0.11837895297961964,0.13389522578086824,0.1
"[{'1000'}, {'2009'}]",0.17490568044072594,80,0.2139826541566579,0.3089411829487752,0.5229238371054331,59,21,0.0917041185182823,0.1592476390321366,0.1
"[{'1012'}, {'1006'}]",0.16767722854479145,64,0.18592965984020104,0.32044198926614254,0.5063716491063436,49,15,0.12248660953848133,0.12197340874929148,0.1
[{'20200'}],0.16721267300912201,65,0.20791559482604777,0.5141858673271011,0.3062702725010534,34,31,0.16096511235983427,0.07475665282100949,0.1
"[{'2037'}, {'1012'}]",0.1650054853522288,120,0.1648678990722704,0.35639543848879196,0.5212633375610624,85,35,0.15150107292960585,0.16639130519913503,0.1
"[{'2000'}, {'2010'}]",0.16413150073049448,82,0.18745730575812086,0.3321815251357972,0.519638830893918,63,19,0.12907166102112172,0.1518954174007177,0.1
"[{'1010'}, {'2007'}]",0.16326061110645945,67,0.19419430285807732,0.31591934000336847,0.5101136428614458,43,24,0.1166588757405133,0.18514055134714377,0.1
[{'2147'}],0.16227183407517168,107,0.20084036108962988,0.3250981565784006,0.5259385176680305,85,22,0.1205914599271226,0.17076033383183212,0.1
"[{'21877'}, {'3527'}]",0.1619697608134127,61,0.20473143710539887,0.5130366593599319,0.30830522225453305,35,26,0.16814099983580724,0.0748586378360947,0.1
"[{'2054'}, {'1996'}]",0.16193495392973145,105,0.17069634098511244,0.36934031604172346,0.5400366570268359,77,28,0.13319272109314617,0.19099930988070848,0.1
"[{'5637'}, {'2916'}]",0.1590294398195573,116,0.20851320997420425,0.3036764359668545,0.5121896459410588,92,24,0.11245438757425358,0.175905697426613,0.1
[{'2154'}],0.1586527653190923,72,0.17962605329350656,0.3346314216559788,0.5142574749494854,53,19,0.13393176051123937,0.1670017508911652,0.1
[{'11324'}],0.15634283961199535,176,0.21030524424769326,0.2700973609398151,0.4804026051875084,145,31,0.0973580818074642,0.1625311959018911,0.1
"[{'1998'}, {'2002'}]",0.15585220578644332,70,0.17711963176727297,0.3140178847312927,0.4911375164985657,50,20,0.12411999703962913,0.15241134386681926,0.1
"[{'2000'}, {'1996'}, {'1010'}]",0.15471338248971583,64,0.20565904849240563,0.313515626654333,0.5191746751467387,49,15,0.10196285028330573,0.1964281003939518,0.1
"[{'2008'}, {'2038'}]",0.15324598960989833,67,0.15809431474394448,0.34295951419820386,0.5010538289421483,48,19,0.1375024765240317,0.15610733335188942,0.1
"[{'2022'}, {'1999'}]",0.152973085782474,67,0.1637283601305064,0.34783645123243334,0.5115648113629397,50,17,0.14880644704954687,0.1648129064282704,0.1
"[{'2012'}, {'2560'}]",0.15281769864588682,77,0.1988719867335425,0.3170555259973284,0.5159275127308709,63,14,0.1319291711378652,0.16771737034313594,0.1
"[{'2001'}, {'2025'}]",0.15227775537817864,63,0.18858911295223724,0.30180347030577453,0.49039258325801177,46,17,0.11033115184055195,0.1671493070875668,0.1
"[{'5637'}, {'2273'}]",0.1518894738507088,150,0.1522942895245038,0.4945510707879334,0.3422567812634296,89,61,0.15744411152061696,0.1358382303379178,0.1
"[{'1037'}, {'3232'}]",0.15132963151003115,74,0.17147904871002073,0.30701338180473875,0.4784924305147595,56,18,0.11253955245656988,0.13451985846021658,0.1
"[{'2004'}, {'1996'}]",0.15132060829253036,127,0.15852372153106759,0.3553471298205971,0.5138708513516647,101,26,0.1453603907055436,0.16600413515522505,0.1
[{'9346'}],0.15116501327010243,64,0.13797173369675875,0.501527844928205,0.36355611123144627,32,32,0.130998963176402,0.1364914222750331,0.1
[{'1015'}],0.15082486863436564,107,0.16942557009351605,0.34757825351038646,0.5170038236039025,86,21,0.13509243472454535,0.17237013443859314,0.1
"[{'2031'}, {'1996'}]",0.15037236069263332,104,0.15531909789728082,0.35955072939395905,0.5148698272912399,81,23,0.15616692551660205,0.1711476891023372,0.1
"[{'1999'}, {'2000'}]",0.14993201862149969,81,0.15068583033163857,0.3517270002324702,0.5024128305641088,59,22,0.14232879054294703,0.16696959207229234,0.1
"[{'1997'}, {'1999'}]",0.1496412749428467,83,0.15349011524900125,0.37443406012520863,0.5279241753742099,67,16,0.1355739804302829,0.16355165978651712,0.1
"[{'1996'}, {'3277'}]",0.14699274065382514,81,0.1926535608039962,0.2938999401198493,0.4865535009238455,63,18,0.10154371362079648,0.17824799794158955,0.1
[{'9147'}],0.14663642645739372,97,0.16527494787164382,0.3274065773838606,0.4926815252555044,78,19,0.11845476129883742,0.1544925562159629,0.1
"[{'1007'}, {'1998'}]",0.14663412134663675,68,0.1437131148788769,0.3381828649536423,0.4818959798325192,46,22,0.12609213307389186,0.1574280460346405,0.1
"[{'2021'}, {'1045'}]",0.14624612860431624,127,0.1341507225349453,0.3538562158203643,0.4880069383553096,92,35,0.1428625713284501,0.1629975679123309,0.1
"[{'1996'}, {'2000'}]",0.14611041714181874,239,0.15829556132754186,0.3225265074759088,0.48082206880345063,188,51,0.1283839389291576,0.17224734883358442,0.1
[{'6555'}],0.14579649464014466,60,0.15772309323603456,0.33555698225444014,0.4932800754904747,44,16,0.12433063212913399,0.17199841733824112,0.1
[{'1521'}],0.14579198452437148,150,0.14381113341136004,0.34240451804969624,0.4862156514610563,115,35,0.13558779159206116,0.16172028196108595,0.1
"[{'1012'}, {'2031'}]",0.14576266077132358,120,0.15863824187735326,0.3471820440654661,0.5058202859428194,102,18,0.14390662239909272,0.12257378823950144,0.1
[{'3191'}],0.14573705645048926,111,0.1353464782203272,0.34439348849730617,0.47973996671763336,78,33,0.1575811343005668,0.13422524889283316,0.1
"[{'1010'}, {'1999'}]",0.14566360694781932,198,0.1324037805713456,0.3540208235383034,0.486424604109649,140,58,0.13557769502913045,0.1834032162921515,0.1
"[{'1996'}, {'1005'}, {'1055'}]",0.1455774117117222,132,0.1388421432257128,0.3592275353718777,0.4980696785975905,98,34,0.1480348519372057,0.18197305675776657,0.1
"[{'2064'}, {'2022'}]",0.14534709417005617,112,0.13901109443533988,0.3503007198728266,0.4893118143081665,84,28,0.1455187771899069,0.161486863593474,0.1
[{'3993'}],0.1453105073131295,129,0.14496737753236016,0.4967968210924503,0.35182944356009016,86,43,0.16832415378958632,0.13259122531061432,0.1
"[{'2038'}, {'1037'}]",0.14518219250201667,73,0.14565254640030234,0.34815974455130727,0.4938122909516096,57,16,0.1308764138443785,0.14839534792036888,0.1
"[{'15667'}, {'2015'}, {'1012'}]",0.14492106535700336,89,0.1468323754930967,0.4892110840270394,0.3423787085339427,57,32,0.1534060993379412,0.13919426894303963,0.1
[{'2048'}],0.14477003444117673,162,0.1379745047785999,0.35756836156360805,0.49554286634220795,128,34,0.1433344614023713,0.16456319346074286,0.1
"[{'2000'}, {'2191'}]",0.14468583136740737,126,0.15739917717254992,0.32435281702908136,0.4817519942016313,93,33,0.11982555028787106,0.18412095516967728,0.1
"[{'2052'}, {'2031'}]",0.14445443139494843,80,0.17092383668925804,0.3234584220345058,0.49438225872376385,63,17,0.09257017938726453,0.17891567575543535,0.1
"[{'2000'}, {'1000'}]",0.14420552627774372,109,0.14772315728191054,0.3613870008580986,0.5091101581400092,87,22,0.1337156973760932,0.18015293821273567,0.1
"[{'1010'}, {'2052'}]",0.1441013361580413,107,0.12677490138426062,0.38027466869935755,0.5070495700836182,82,25,0.1572425971190434,0.1691518097608319,0.1
"[{'2043'}, {'1996'}]",0.14409519396217677,63,0.14449069294191547,0.3486262535055478,0.4931169464474633,42,21,0.14533493466752512,0.19190635464924274,0.1
"[{'1996'}, {'1029'}]",0.1440819641797848,83,0.1374479123515639,0.33876431694156245,0.47621222929312634,57,26,0.12466328033628687,0.15923976839031478,0.1
[{'2449'}],0.1437706009185752,118,0.1737488227089246,0.3140966776013374,0.487845500310262,100,18,0.10465124590898087,0.14695919661568138,0.1
"[{'2055'}, {'1996'}]",0.14376045063432383,172,0.123444828079952,0.37069702733021515,0.49414185541016714,130,42,0.1419509729582939,0.17006623034589924,0.1
"[{'1055'}, {'1010'}]",0.14365519833468418,95,0.14902322893233405,0.3356753569096327,0.48469858584196673,72,23,0.1122071941348957,0.16710667989015393,0.1
"[{'2115'}, {'1010'}]",0.14203769909117425,60,0.14525969716764636,0.3303267569059417,0.47558645407358807,42,18,0.14250660349218178,0.16562696311942843,0.1
"[{'2028'}, {'1996'}]",0.1412327274878253,72,0.11385735714187228,0.35990608142067987,0.47376343856255215,48,24,0.14200158445257594,0.14454861098036148,0.1
"[{'2001'}, {'1999'}]",0.14110838674425205,67,0.15479858238907424,0.32006030291318893,0.47485888530226317,50,17,0.09771607039361561,0.16784747445346318,0.1
"[{'1056'}, {'2022'}]",0.1407983340640043,63,0.14182878787750786,0.3317166306078434,0.47354541848535125,40,23,0.11995347926358575,0.18586875746850304,0.1
"[{'1055'}, {'1012'}]",0.14078830046930513,152,0.12195053877867296,0.35974017444965056,0.4816907132283235,113,39,0.13639745534984354,0.17038414150696352,0.1
"[{'2000'}, {'2000'}]",0.1407094280297947,132,0.14818899791974288,0.3331662743137433,0.4813552722334862,104,28,0.1338103262345992,0.17638533638205128,0.1
"[{'1010'}, {'1010'}, {'1010'}]",0.14050011510115595,105,0.1317923969437933,0.35169169077506435,0.48348408771885765,78,27,0.1209466969828666,0.17642967809417312,0.1
"[{'1037'}, {'2005'}]",0.1404730535116541,92,0.13111990270289503,0.3311366006731987,0.46225650337609375,70,22,0.10462419813105199,0.1300118659834551,0.1
