pattern,quality,support,pattern_delta,error_class_0,error_class_1,size_class_0,size_class_1,std_class_0,std_class_1,theta
"[{'1044'}, {'22571'}]",0.8367651417045269,135,0.6321099428153585,0.7497972863561967,0.11768734354083821,17,118,0.14588120489098272,0.07328969497232443,0.5
"[{'6101'}, {'2075'}]",0.7763981986429123,71,0.5441497789865191,0.6748425178229809,0.13069273883646185,16,55,0.18662993346714415,0.08064273398512853,0.5
[{'15504'}],0.6655160778576897,140,0.4862196796706745,0.6531178206205368,0.16689814094986236,28,112,0.17406131589333027,0.1290804950431966,0.5
[{'4689'}],0.6620356766466245,63,0.5499908042450746,0.6689532299836477,0.11896242573857307,15,48,0.23435630772912983,0.08240923002333098,0.5
[{'16939'}],0.5728088585342055,146,0.490200184607828,0.6336889550089836,0.14348877040115562,35,111,0.22172383660646014,0.10790071857376603,0.5
"[{'2317'}, {'2308'}]",0.5394988166159933,60,0.44989149865101685,0.5989434737712145,0.14905197512019763,16,44,0.20846652781971822,0.11074724620240899,0.5
[{'12581'}],0.5386375280592822,168,0.42172218335760336,0.5860677007234322,0.1643455173658288,53,115,0.20710122701659114,0.10807589512956123,0.5
[{'10021'}],0.4991485468765969,65,0.4078685944059901,0.5930756900240394,0.1852070956180493,17,48,0.19792983497347572,0.1318129640370871,0.5
[{'17536'}],0.44428327479851537,65,0.3432143071731919,0.5188967248667842,0.17568241769359225,23,42,0.16719253413719667,0.11710769697608311,0.5
"[{'3021'}, {'7207'}]",0.43617425921201514,96,0.4096242806149854,0.5857215834160646,0.17609730280107921,24,72,0.2156381937736158,0.12100066209261572,0.5
"[{'3348'}, {'2007'}]",0.41964367179671663,73,0.432804225302162,0.6453760957176035,0.21257187041544146,11,62,0.1945378618476958,0.1359514035314767,0.5
"[{'1037'}, {'2317'}]",0.40704759834745013,78,0.362344395617644,0.528206950922807,0.16586255530516306,30,48,0.20804080216987186,0.09890513549899042,0.5
[{'5223'}],0.39623949515557527,201,0.38129927073965963,0.5501005448626749,0.16880127412301524,66,135,0.22917100562449347,0.13110137126682392,0.5
[{'5637'}],0.3925231650832562,208,0.3926368601845973,0.5619570141037306,0.16932015391913327,54,154,0.2172338496671987,0.10689609977116589,0.5
[{'2886'}],0.35499858842299864,68,0.3093271220051853,0.5151114638509422,0.20578434184575692,29,39,0.20070802246721076,0.17649513565171168,0.5
"[{'5637'}, {'2015'}]",0.31748910977578815,86,0.4130317186665647,0.5509334395329157,0.13790172086635105,15,71,0.20793513268363528,0.07079529366177882,0.5
"[{'2317'}, {'1012'}]",0.30758367153834304,89,0.3451427090519395,0.5097911689550646,0.1646484599031251,31,58,0.23947774032938446,0.1043744070751866,0.5
[{'6101'}],0.30161408011080587,234,0.33829340318430345,0.5081141733310439,0.16982077014674046,77,157,0.23205340938546337,0.12697126681023915,0.5
[{'2304'}],0.2889958919956114,233,0.30723969318874345,0.5161115238026007,0.20887183061385728,67,166,0.213949758801463,0.14073924393505735,0.5
